raw,reference,residual
5.2,5.384112077294678,-0.18411207729467804
5.36,5.4267130434782525,-0.06671304347825213
5.27,5.476173913043471,-0.20617391304347166
5.17,5.562251207729462,-0.392251207729462
5.31,5.645348792270522,-0.3353487922705227
5.77,5.7027458937198,0.0672541062801999
5.9,5.706595169082116,0.19340483091788396
5.86,5.7316927536231805,0.12830724637681978
6.09,5.7953797101449185,0.2946202898550814
6.29,5.856917874396126,0.4330821256038737
6.18,5.936264734299509,0.24373526570049098
5.9,6.042575845410619,-0.14257584541061874
6.09,6.141149758454097,-0.051149758454097416
6.07,6.216830917874388,-0.14683091787438762
5.98,6.292718840579701,-0.31271884057970034
5.93,6.341281159420281,-0.4112811594202812
5.97,6.3730280193236615,-0.4030280193236617
6.11,6.3827478260869475,-0.27274782608694714
7.07,6.421256038647335,0.6487439613526655
6.94,6.45936425120772,0.4806357487922801
6.67,6.495118840579701,0.17488115942029925
6.8,6.5461642512077205,0.2538357487922793
6.67,6.6044637681159335,0.06553623188406643
6.58,6.649663768115934,-0.06966376811593378
6.47,6.658164251207721,-0.18816425120772085
6.5,6.677974879227044,-0.17797487922704391
6.47,6.678075362318832,-0.20807536231883184
6.65,6.675184541062793,-0.02518454106279222
6.59,6.6645835748792175,-0.07458357487921763
6.86,6.640052173913034,0.21994782608696628
6.71,6.620314975845403,0.08968502415459678
6.78,6.64976425120772,0.1302357487922805
6.7,6.702562318840571,-0.0025623188405710096
6.57,6.745549758454096,-0.17554975845409615
6.59,6.7674009661835655,-0.1774009661835656
6.66,6.786241545893711,-0.12624154589371095
6.92,6.82816425120772,0.09183574879228029
6.85,6.868115942028974,-0.018115942028974708
7.13,6.88943188405796,0.24056811594203964
7.05,6.940156521739121,0.10984347826087859
7.0,7.0002299516908115,-0.0002299516908115251
7.12,7.075060869565205,0.044939130434794805
7.04,7.178747826086945,-0.13874782608694503
7.27,7.271493719806753,-0.0014937198067537238
6.98,7.353789371980666,-0.3737893719806653
6.95,7.407909178743949,-0.45790917874394843
7.59,7.451936231884049,0.1380637681159511
7.82,7.485468599033806,0.3345314009661946
7.58,7.502544927536219,0.07745507246378125
7.62,7.5609545893719705,0.05904541062802959
8.13,7.607080193236704,0.522919806763297
7.77,7.6669256038647235,0.10307439613527603
7.89,7.702131400966174,0.18786859903382602
7.64,7.7054956521739015,-0.06549565217390185
7.4,7.7301700483091675,-0.3301700483091672
7.34,7.731603864734289,-0.39160386473428943
7.47,7.746828985507234,-0.2768289855072341
7.81,7.736666666666655,0.0733333333333448
7.79,7.727729468599022,0.06227053140097816
7.88,7.743161352656996,0.1368386473430041
8.17,7.748171980676318,0.42182801932368186
7.68,7.746446376811583,-0.06644637681158372
7.65,7.761341062801921,-0.11134106280192047
7.53,7.814214492753612,-0.28421449275361166
7.72,7.816040579710133,-0.09604057971013358
8.13,7.8301603864734215,0.2998396135265793
7.84,7.851495652173905,-0.011495652173905135
8.05,7.870815458937185,0.17918454106281612
7.99,7.904438647342984,0.08556135265701581
8.01,7.933089855072454,0.07691014492754622
7.7,7.98358260869564,-0.28358260869563967
7.72,8.038206763285011,-0.3182067632850112
8.16,8.089472463768107,0.0705275362318929
8.14,8.14416811594202,-0.004168115942018602
7.91,8.191053140096608,-0.2810531400966081
7.84,8.215638647342983,-0.37563864734298313
8.52,8.23351690821255,0.28648309178744924
8.75,8.270036714975832,0.4799632850241675
8.67,8.300643478260858,0.36935652173914235
8.59,8.32120193236714,0.2687980676328596
8.24,8.376827053140083,-0.1368270531400828
8.33,8.428114009661824,-0.09811400966182404
8.26,8.463468599033805,-0.20346859903380476
8.13,8.461058937198054,-0.331058937198053
8.23,8.442119806763275,-0.21211980676327435
8.57,8.409447342995156,0.16055265700484433
8.27,8.379770048309169,-0.10977004830916925
8.54,8.328052173913031,0.21194782608696805
8.44,8.231051207729458,0.20894879227054197
8.14,8.19846570048308,-0.05846570048307953
8.6,8.191942028985496,0.4080579710145038
8.51,8.185383574879214,0.3246164251207855
8.03,8.189692753623179,-0.15969275362317958
7.82,8.148556521739119,-0.3285565217391184
7.84,8.110560386473418,-0.2705603864734183
7.84,8.053636714975834,-0.21363671497583425
7.74,7.996189371980666,-0.2561893719806658
8.17,7.967422222222213,0.20257777777778685
8.0,7.979082125603854,0.020917874396145564
7.94,7.968371014492743,-0.02837101449274293
8.45,7.986450241545884,0.46354975845411506
8.03,7.995499516908202,0.03450048309179721
7.87,7.985087922705304,-0.1150879227053041
7.85,7.987431884057958,-0.1374318840579587
7.59,7.999795169082115,-0.40979516908211533
7.95,7.9725835748792155,-0.022583574879215362
7.99,7.937045410628008,0.05295458937199182
8.32,7.887153623188394,0.4328463768116064
8.31,7.809887922705304,0.5001120772946965
7.97,7.756664734299507,0.21333526570049255
7.64,7.746682125603853,-0.1066821256038537
7.68,7.711482125603855,-0.03148212560385488
7.42,7.673934299516898,-0.2539342995168985
7.43,7.677397101449265,-0.2473971014492653
7.35,7.6758067632850135,-0.3258067632850139
7.59,7.665857004830907,-0.0758570048309073
7.45,7.660931400966174,-0.21093140096617358
7.67,7.631447342995159,0.038552657004840896
7.54,7.628349758454096,-0.08834975845409598
7.72,7.635503381642502,0.08449661835749733
8.24,7.665681159420281,0.5743188405797195
7.8,7.695723671497574,0.10427632850242574
7.49,7.718119806763275,-0.22811980676327437
7.77,7.718361352656995,0.05163864734300461
7.81,7.706788405797092,0.10321159420290726
7.81,7.672888888888878,0.13711111111112118
7.64,7.640811594202889,-0.000811594202889232
7.65,7.6060521739130325,0.0439478260869679
7.53,7.585377777777767,-0.055377777777766646
7.6,7.5681835748792174,0.0318164251207822
7.46,7.544508212560377,-0.08450821256037688
7.3,7.508390338164243,-0.2083903381642429
7.28,7.468593236714968,-0.18859323671496764
7.42,7.4828927536231795,-0.06289275362317959
7.32,7.48279420289854,-0.16279420289853963
7.34,7.458463768115933,-0.11846376811593284
7.56,7.439567149758446,0.1204328502415537
7.68,7.418237681159411,0.26176231884058865
7.63,7.390183574879219,0.2398164251207806
7.51,7.344442512077285,0.1655574879227144
7.42,7.300285990338154,0.11971400966184564
7.06,7.247824154589365,-0.1878241545893653
7.21,7.20280193236714,0.007198067632860017
7.16,7.132446376811584,0.0275536231884157
7.32,7.054585507246367,0.26541449275363327
6.99,6.982098550724628,0.007901449275371952
6.77,6.9184521739130345,-0.1484521739130349
6.66,6.860249275362311,-0.20024927536231107
6.65,6.808587439613519,-0.15858743961351873
6.62,6.771526570048301,-0.1515265700483006
6.67,6.762579710144918,-0.09257971014491773
6.76,6.769377777777771,-0.009377777777770824
6.72,6.771325603864726,-0.05132560386472651
6.71,6.761393236714968,-0.05139323671496765
6.63,6.743708212560378,-0.11370821256037811
6.94,6.72248502415458,0.21751497584542
6.96,6.714347826086947,0.2456521739130526
6.87,6.72050821256038,0.14949178743962044
6.91,6.727499516908204,0.182500483091796
6.77,6.716830917874386,0.05316908212561344
6.69,6.697221256038638,-0.007221256038637769
6.74,6.68209855072463,0.05790144927537
6.53,6.659893719806755,-0.12989371980675468
6.32,6.629342995169073,-0.3093429951690725
6.35,6.607511111111104,-0.25751111111110436
6.57,6.578394202898542,-0.008394202898541536
6.4,6.539733333333325,-0.13973333333332505
6.67,6.4729333333333265,0.19706666666667338
6.53,6.439700483091779,0.09029951690822102
6.61,6.402477294685983,0.20752270531401695
6.38,6.361909178743954,0.01809082125604622
6.44,6.339516908212554,0.10048309178744663
6.42,6.305256038647337,0.11474396135266307
6.22,6.25657971014492,-0.03657971014492034
6.14,6.209304347826079,-0.06930434782607975
6.17,6.138519806763277,0.0314801932367228
5.97,6.06210241545893,-0.09210241545893005
5.88,5.997661835748784,-0.11766183574878397
5.85,5.947793236714968,-0.09779323671496876
6.11,5.899199999999995,0.2108000000000052
5.8,5.88226280193236,-0.08226280193236057
5.87,5.8632869565217325,0.006713043478267622
5.85,5.846365217391297,0.003634782608702203
5.57,5.823283091787433,-0.25328309178743247
5.57,5.798881159420283,-0.22888115942028264
5.69,5.770956521739123,-0.0809565217391226
5.74,5.728925603864728,0.011074396135271947
6.0,5.678550724637674,0.32144927536232615
5.94,5.646755555555549,0.2932444444444515
5.76,5.610856038647336,0.14914396135266372
5.76,5.5652714975845345,0.19472850241546524
5.59,5.504388405797095,0.08561159420290476
5.32,5.455288888888882,-0.1352888888888817
5.18,5.393184541062796,-0.21318454106279638
5.2,5.324222222222216,-0.12422222222221624
5.03,5.238552657004826,-0.20855265700482573
5.05,5.146747826086951,-0.09674782608695143
5.09,5.05986666666666,0.030133333333339785
5.14,4.9813178743961295,0.15868212560387018
5.22,4.90548599033816,0.3145140096618402
4.95,4.864985507246372,0.08501449275362827
4.73,4.835982608695647,-0.1059826086956468
4.63,4.810535265700478,-0.1805352657004784
4.69,4.7863285024154525,-0.0963285024154521
4.69,4.750206763285019,-0.06020676328501828
4.53,4.719872463768111,-0.1898724637681104
4.63,4.6979111111111065,-0.06791111111110659
4.93,4.685667632850238,0.24433236714976214
4.8,4.665603864734295,0.13439613526570504
4.69,4.660558454106276,0.029441545893724275
4.67,4.674830917874391,-0.004830917874390828
4.75,4.692975845410623,0.05702415458937704
4.58,4.714245410628013,-0.13424541062801332
4.52,4.71331014492753,-0.19331014492753074
4.44,4.667464734299512,-0.2274647342995113
4.6,4.61243285024154,-0.012432850241540727
4.9,4.569584541062797,0.33041545893720325
4.78,4.533965217391299,0.24603478260870126
4.63,4.472500483091782,0.15749951690821806
4.57,4.416867632850237,0.1531323671497633
4.59,4.3910975845410585,0.19890241545894138
4.37,4.360871497584537,0.00912850241546348
4.02,4.2997101449275315,-0.2797101449275319
3.89,4.241982608695647,-0.3519826086956468
3.83,4.188838647342991,-0.3588386473429912
3.83,4.12868985507246,-0.2986898550724595
4.28,4.067584541062798,0.21241545893720204
4.31,4.003862801932362,0.3061371980676375
4.12,3.939364251207726,0.18063574879227406
